date,refactoring,qt
2013-06,ESupC,62
2013-06,MF,62
2013-06,MM,68
2013-06,PF,62
2013-06,PM,62
2013-06,RCWP,64
2013-06,RDWO,62
2013-06,ECo,4
2013-06,EF,4
2013-06,HM,4
2013-07,ECo,6
2013-07,EF,6
2013-07,EM,376
2013-07,HM,6
2013-07,MM,49
2013-07,CCE,370
2013-07,DC,370
2013-07,IPO,370
2013-07,PWO,370
2013-07,RMWMO,380
2013-07,RTWQ,370
2013-07,EH,33
2013-07,EI,33
2013-07,ESupC,33
2013-07,MF,33
2013-07,PF,33
2013-07,PM,33
2013-07,RCWP,43
2013-07,RDWO,33
2013-08,EH,37
2013-08,EI,37
2013-08,ESupC,37
2013-08,MF,37
2013-08,MM,40
2013-08,PF,37
2013-08,PM,37
2013-08,RCWP,39
2013-08,RDWO,37
2013-08,CCE,200
2013-08,DC,200
2013-08,EM,201
2013-08,IPO,200
2013-08,PWO,200
2013-08,RMWMO,202
2013-08,RTWQ,200
2013-08,ECo,1
2013-08,EF,1
2013-08,HM,1
2013-09,EH,10
2013-09,EI,10
2013-09,ESupC,10
2013-09,MF,10
2013-09,MM,11
2013-09,PF,10
2013-09,PM,10
2013-09,RCWP,10
2013-09,RDWO,10
2013-09,CCE,78
2013-09,DC,78
2013-09,EM,79
2013-09,IPO,78
2013-09,PWO,78
2013-09,RMWMO,78
2013-09,RTWQ,78
2013-09,ECo,1
2013-09,EF,1
2013-09,HM,1
2013-10,CCE,102
2013-10,DC,102
2013-10,EM,104
2013-10,IPO,102
2013-10,PWO,102
2013-10,RMWMO,106
2013-10,RTWQ,102
2013-10,EH,19
2013-10,EI,19
2013-10,ESupC,19
2013-10,MF,19
2013-10,MM,23
2013-10,PF,19
2013-10,PM,19
2013-10,RCWP,23
2013-10,RDWO,19
2013-10,EC,2
2013-11,CCE,126
2013-11,DC,126
2013-11,EM,129
2013-11,IPO,126
2013-11,PWO,126
2013-11,RMWMO,130
2013-11,RTWQ,126
2013-11,EH,18
2013-11,EI,18
2013-11,ESupC,18
2013-11,MF,18
2013-11,MM,25
2013-11,PF,18
2013-11,PM,18
2013-11,RCWP,22
2013-11,RDWO,18
2013-11,ECo,3
2013-11,EF,3
2013-11,HM,3
2013-12,ECo,1
2013-12,EF,1
2013-12,EM,183
2013-12,HM,1
2013-12,MM,40
2013-12,CCE,182
2013-12,DC,182
2013-12,IPO,182
2013-12,PWO,182
2013-12,RMWMO,186
2013-12,RTWQ,182
2013-12,EH,35
2013-12,EI,35
2013-12,ESupC,35
2013-12,MF,35
2013-12,PF,35
2013-12,PM,35
2013-12,RCWP,39
2013-12,RDWO,35
2014-01,EH,22
2014-01,EI,22
2014-01,ESupC,22
2014-01,MF,22
2014-01,MM,26
2014-01,PF,22
2014-01,PM,22
2014-01,RCWP,24
2014-01,RDWO,22
2014-01,CCE,154
2014-01,DC,154
2014-01,EM,156
2014-01,IPO,154
2014-01,PWO,154
2014-01,RMWMO,156
2014-01,RTWQ,154
2014-01,ECo,2
2014-01,EF,2
2014-01,HM,2
2014-02,EH,17
2014-02,EI,17
2014-02,ESupC,17
2014-02,MF,17
2014-02,MM,21
2014-02,PF,17
2014-02,PM,17
2014-02,RCWP,19
2014-02,RDWO,17
2014-02,CCE,134
2014-02,DC,134
2014-02,EM,136
2014-02,IPO,134
2014-02,PWO,134
2014-02,RMWMO,136
2014-02,RTWQ,134
2014-02,ECo,2
2014-02,EF,2
2014-02,HM,2
2014-03,CCE,48
2014-03,DC,48
2014-03,EM,48
2014-03,IPO,48
2014-03,PWO,48
2014-03,RMWMO,48
2014-03,RTWQ,48
2014-03,EH,12
2014-03,EI,12
2014-03,ESupC,12
2014-03,MF,12
2014-03,MM,12
2014-03,PF,12
2014-03,PM,12
2014-03,RCWP,12
2014-03,RDWO,12
2014-04,CCE,214
2014-04,DC,214
2014-04,EM,214
2014-04,IPO,214
2014-04,PWO,214
2014-04,RMWMO,224
2014-04,RTWQ,214
2014-04,EH,23
2014-04,EI,23
2014-04,ESupC,23
2014-04,MF,23
2014-04,MM,33
2014-04,PF,23
2014-04,PM,23
2014-04,RCWP,33
2014-04,RDWO,23
2014-05,CCE,84
2014-05,DC,84
2014-05,EM,84
2014-05,IPO,84
2014-05,PWO,84
2014-05,RMWMO,88
2014-05,RTWQ,84
2014-05,EH,12
2014-05,EI,12
2014-05,ESupC,12
2014-05,MF,12
2014-05,MM,16
2014-05,PF,12
2014-05,PM,12
2014-05,RCWP,16
2014-05,RDWO,12
2014-06,CCE,214
2014-06,DC,214
2014-06,EM,218
2014-06,IPO,214
2014-06,PWO,214
2014-06,RMWMO,218
2014-06,RTWQ,214
2014-06,EH,22
2014-06,EI,22
2014-06,ESupC,22
2014-06,MF,22
2014-06,MM,29
2014-06,PF,22
2014-06,PM,22
2014-06,RCWP,26
2014-06,RDWO,22
2014-06,EC,1
2014-06,ECo,3
2014-06,EF,3
2014-06,HM,3
2014-07,CCE,302
2014-07,DC,302
2014-07,EM,303
2014-07,IPO,302
2014-07,PWO,302
2014-07,RMWMO,310
2014-07,RTWQ,302
2014-07,ECo,1
2014-07,EF,1
2014-07,HM,1
2014-07,MM,49
2014-07,EH,40
2014-07,EI,40
2014-07,ESupC,40
2014-07,MF,40
2014-07,PF,40
2014-07,PM,40
2014-07,RCWP,48
2014-07,RDWO,40
2014-08,CCE,110
2014-08,DC,110
2014-08,EM,110
2014-08,IPO,110
2014-08,PWO,110
2014-08,RMWMO,112
2014-08,RTWQ,110
2014-08,EH,9
2014-08,EI,9
2014-08,ESupC,9
2014-08,MF,9
2014-08,MM,11
2014-08,PF,9
2014-08,PM,9
2014-08,RCWP,11
2014-08,RDWO,9
2014-09,EH,22
2014-09,EI,22
2014-09,ESupC,22
2014-09,MF,22
2014-09,MM,24
2014-09,PF,22
2014-09,PM,22
2014-09,RCWP,24
2014-09,RDWO,22
2014-09,CCE,208
2014-09,DC,208
2014-09,EM,209
2014-09,IPO,208
2014-09,PWO,208
2014-09,RMWMO,210
2014-09,RTWQ,208
2014-09,EC,1
2014-10,CCE,260
2014-10,DC,260
2014-10,EM,261
2014-10,IPO,260
2014-10,PWO,260
2014-10,RMWMO,262
2014-10,RTWQ,260
2014-10,EH,40
2014-10,EI,40
2014-10,ESupC,40
2014-10,MF,40
2014-10,MM,43
2014-10,PF,40
2014-10,PM,40
2014-10,RCWP,42
2014-10,RDWO,40
2014-10,ECo,1
2014-10,EF,1
2014-10,HM,1
2014-11,CCE,30
2014-11,DC,30
2014-11,EM,30
2014-11,IPO,30
2014-11,PWO,30
2014-11,RMWMO,30
2014-11,RTWQ,30
2014-11,EH,6
2014-11,EI,6
2014-11,ESupC,6
2014-11,MF,6
2014-11,MM,6
2014-11,PF,6
2014-11,PM,6
2014-11,RCWP,6
2014-11,RDWO,6
2014-12,CCE,328
2014-12,DC,328
2014-12,EM,328
2014-12,IPO,328
2014-12,PWO,328
2014-12,RMWMO,344
2014-12,RTWQ,328
2014-12,EH,35
2014-12,EI,35
2014-12,ESupC,35
2014-12,MF,35
2014-12,MM,51
2014-12,PF,35
2014-12,PM,35
2014-12,RCWP,51
2014-12,RDWO,35
2015-01,CCE,566
2015-01,DC,566
2015-01,EM,568
2015-01,IPO,566
2015-01,PWO,566
2015-01,RMWMO,576
2015-01,RTWQ,566
2015-01,EH,62
2015-01,EI,62
2015-01,ESupC,62
2015-01,MF,62
2015-01,MM,74
2015-01,PF,62
2015-01,PM,62
2015-01,RCWP,72
2015-01,RDWO,62
2015-01,ECo,2
2015-01,EF,2
2015-01,HM,2
2015-02,CCE,548
2015-02,DC,548
2015-02,EM,549
2015-02,IPO,548
2015-02,PWO,548
2015-02,RMWMO,568
2015-02,RTWQ,548
2015-02,EH,57
2015-02,EI,57
2015-02,ESupC,57
2015-02,MF,57
2015-02,MM,77
2015-02,PF,57
2015-02,PM,57
2015-02,RCWP,77
2015-02,RDWO,57
2015-02,EC,1
2015-03,MM,35
2015-03,RCWP,35
2015-03,RMWMO,442
2015-03,CCE,436
2015-03,DC,436
2015-03,EM,436
2015-03,IPO,436
2015-03,PWO,436
2015-03,RTWQ,436
2015-03,EH,29
2015-03,EI,29
2015-03,ESupC,29
2015-03,MF,29
2015-03,PF,29
2015-03,PM,29
2015-03,RDWO,29
2015-04,CCE,544
2015-04,DC,544
2015-04,EM,544
2015-04,IPO,544
2015-04,PWO,544
2015-04,RMWMO,550
2015-04,RTWQ,544
2015-04,EH,57
2015-04,EI,57
2015-04,ESupC,57
2015-04,MF,57
2015-04,MM,63
2015-04,PF,57
2015-04,PM,57
2015-04,RCWP,63
2015-04,RDWO,57
2015-05,EH,18
2015-05,EI,18
2015-05,ESupC,18
2015-05,MF,18
2015-05,MM,22
2015-05,PF,18
2015-05,PM,18
2015-05,RCWP,20
2015-05,RDWO,18
2015-05,CCE,200
2015-05,DC,200
2015-05,EM,203
2015-05,IPO,200
2015-05,PWO,200
2015-05,RMWMO,202
2015-05,RTWQ,200
2015-05,EC,1
2015-05,ECo,2
2015-05,EF,2
2015-05,HM,2
2015-06,CCE,874
2015-06,DC,874
2015-06,EM,880
2015-06,IPO,874
2015-06,PWO,874
2015-06,RMWMO,898
2015-06,RTWQ,874
2015-06,ECo,6
2015-06,EF,6
2015-06,HM,6
2015-06,MM,107
2015-06,EH,77
2015-06,EI,77
2015-06,ESupC,77
2015-06,MF,77
2015-06,PF,77
2015-06,PM,77
